开盘时间,开盘价,最高价,最低价,收盘价,成交量,收盘时间,成交额,成交笔数,主动买入成交量,主动买入成交额,忽略
2024-09-16 10:00:00,0.00003118,0.00044200,0.00003118,0.00033139,91834503832.00,2024-09-16 10:59:59.999,31521093.30498602,100836,46525338315.00,16039177.70905632,0
2024-09-16 11:00:00,0.00033190,0.00036888,0.00031962,0.00033322,37221000227.00,2024-09-16 11:59:59.999,12681522.43401177,61813,20722268518.00,7089655.82117995,0
2024-09-16 12:00:00,0.00033320,0.00033400,0.00030600,0.00031768,36441074080.00,2024-09-16 12:59:59.999,11675478.88805945,61213,16769090632.00,5366574.77720647,0
2024-09-16 13:00:00,0.00031768,0.00038567,0.00031100,0.00038321,71631823214.00,2024-09-16 13:59:59.999,24900000.06119576,91803,40382973207.00,14083488.50934971,0
2024-09-16 14:00:00,0.00038319,0.00042488,0.00036781,0.00038280,104368056471.00,2024-09-16 14:59:59.999,41433990.16402956,145683,52519005428.00,20878086.06739055,0
2024-09-16 15:00:00,0.00038243,0.00041200,0.00037001,0.00040300,42369048773.00,2024-09-16 15:59:59.999,16508423.23488057,67499,21042341436.00,8210300.96984403,0
2024-09-16 16:00:00,0.00040244,0.00043330,0.00038100,0.00038489,62196119341.00,2024-09-16 16:59:59.999,25407609.86616184,86359,30507426424.00,12497303.76437216,0
2024-09-16 17:00:00,0.00038514,0.00040960,0.00037000,0.00040034,29657870224.00,2024-09-16 17:59:59.999,11467818.54483062,42082,15021966740.00,5827797.46905333,0
2024-09-16 18:00:00,0.00040034,0.00040075,0.00038000,0.00038438,15123995876.00,2024-09-16 18:59:59.999,5868840.87955049,28672,7127314479.00,2765988.29133775,0
2024-09-16 19:00:00,0.00038472,0.00038673,0.00035183,0.00035663,23331791455.00,2024-09-16 19:59:59.999,8523104.53775076,34865,10753812292.00,3927116.75641010,0
2024-09-16 20:00:00,0.00035689,0.00036145,0.00033383,0.00033981,22929212253.00,2024-09-16 20:59:59.999,7886081.31345390,33823,10192374532.00,3511575.58527510,0
2024-09-16 21:00:00,0.00033990,0.00037000,0.00033968,0.00036242,18246506272.00,2024-09-16 21:59:59.999,6525614.09831193,26261,10195434697.00,3646780.95296202,0
2024-09-16 22:00:00,0.00036283,0.00036486,0.00033515,0.00034140,15895440927.00,2024-09-16 22:59:59.999,5580498.54683384,21925,7070848245.00,2486514.16603534,0
2024-09-16 23:00:00,0.00034145,0.00036494,0.00034100,0.00035989,11980351148.00,2024-09-16 23:59:59.999,4251284.12880419,21370,5999301477.00,2128626.36378891,0
2024-09-17 00:00:00,0.00035982,0.00038621,0.00035933,0.00038234,25487468093.00,2024-09-17 00:59:59.999,9578202.33087116,40962,13179929332.00,4951679.95180848,0
2024-09-17 01:00:00,0.00038253,0.00038900,0.00036806,0.00037021,16578710149.00,2024-09-17 01:59:59.999,6301320.79703819,25418,7952585317.00,3028440.16498077,0
2024-09-17 02:00:00,0.00037021,0.00038400,0.00036800,0.00037993,8745999027.00,2024-09-17 02:59:59.999,3312673.92428262,14672,4717690408.00,1788166.95752720,0
2024-09-17 03:00:00,0.00037976,0.00038296,0.00035300,0.00035912,16649111446.00,2024-09-17 03:59:59.999,6110409.67757985,24206,7432235863.00,2730577.28971986,0
2024-09-17 04:00:00,0.00035909,0.00035914,0.00034034,0.00034288,16843119802.00,2024-09-17 04:59:59.999,5871990.18788126,25700,7819449220.00,2727003.12736352,0
2024-09-17 05:00:00,0.00034325,0.00036691,0.00034228,0.00036148,11014694909.00,2024-09-17 05:59:59.999,3908781.85850751,17494,6254664293.00,2218900.05190501,0
2024-09-17 06:00:00,0.00036130,0.00037750,0.00035111,0.00037312,14294467257.00,2024-09-17 06:59:59.999,5246110.17699150,25839,7274424934.00,2673488.10459940,0
2024-09-17 07:00:00,0.00037314,0.00037737,0.00036500,0.00037274,9631349500.00,2024-09-17 07:59:59.999,3566957.41498757,17817,4575051145.00,1696222.54610971,0
2024-09-17 08:00:00,0.00037295,0.00040996,0.00037174,0.00039638,34433008510.00,2024-09-17 08:59:59.999,13557594.99915713,53080,18365188715.00,7228909.14881019,0
2024-09-17 09:00:00,0.00039637,0.00040925,0.00039225,0.00040429,24618159057.00,2024-09-17 09:59:59.999,9859016.43134037,37070,12108934037.00,4853848.73644206,0
2024-09-17 10:00:00,0.00040441,0.00041130,0.00037171,0.00037604,25789793960.00,2024-09-17 10:59:59.999,9995334.91300351,35893,12343932458.00,4789845.57312692,0
2024-09-17 11:00:00,0.00037604,0.00038220,0.00036607,0.00037888,17202292231.00,2024-09-17 11:59:59.999,6470058.52993777,20553,7600378959.00,2859641.00880725,0
2024-09-17 12:00:00,0.00037883,0.00039250,0.00037340,0.00039083,15876345727.00,2024-09-17 12:59:59.999,6110453.35382043,21427,8100150387.00,3118209.09313806,0
2024-09-17 13:00:00,0.00039064,0.00039500,0.00037491,0.00038276,13113117250.00,2024-09-17 13:59:59.999,5046494.06613819,18277,5984705079.00,2304578.99168813,0
2024-09-17 14:00:00,0.00038303,0.00039097,0.00037378,0.00038514,16308917549.00,2024-09-17 14:59:59.999,6234688.66287410,21494,7975031991.00,3051171.56029027,0
2024-09-17 15:00:00,0.00038520,0.00052110,0.00038498,0.00051839,87022775785.00,2024-09-17 15:59:59.999,38913631.47240101,107354,44569439277.00,19783030.06192303,0
2024-09-17 16:00:00,0.00051910,0.00067808,0.00051090,0.00065975,131806462280.00,2024-09-17 16:59:59.999,78755609.26001233,229958,70062731675.00,41897288.43360828,0
2024-09-17 17:00:00,0.00065961,0.00066137,0.00059422,0.00063512,63936728181.00,2024-09-17 17:59:59.999,39837530.83778454,113509,30887461848.00,19260037.00582462,0
2024-09-17 18:00:00,0.00063512,0.00071379,0.00062482,0.00066089,59473590050.00,2024-09-17 18:59:59.999,39924223.42394909,106312,31038484927.00,20847947.83403086,0
2024-09-17 19:00:00,0.00066082,0.00069600,0.00063543,0.00065838,29956315464.00,2024-09-17 19:59:59.999,19950830.99422025,59074,15091375923.00,10057841.91550810,0
2024-09-17 20:00:00,0.00065838,0.00071600,0.00064000,0.00069915,35802065170.00,2024-09-17 20:59:59.999,24428906.01514715,72785,19176960331.00,13084141.23986404,0
2024-09-17 21:00:00,0.00069981,0.00070896,0.00065865,0.00066890,23452724884.00,2024-09-17 21:59:59.999,16096395.80859285,47911,11437210261.00,7851795.85720512,0
2024-09-17 22:00:00,0.00066891,0.00068510,0.00065207,0.00067328,15728842871.00,2024-09-17 22:59:59.999,10475262.16099308,34616,7606367477.00,5068604.42952129,0
2024-09-17 23:00:00,0.00067317,0.00069500,0.00066300,0.00068958,14281622421.00,2024-09-17 23:59:59.999,9725424.61774957,29239,7350307496.00,5008313.04664055,0
2024-09-18 00:00:00,0.00068968,0.00087000,0.00066052,0.00082917,50056824814.00,2024-09-18 00:59:59.999,38131164.14414883,119836,26933550170.00,20511318.62867600,0
2024-09-18 01:00:00,0.00082916,0.00089000,0.00077992,0.00079796,56995109663.00,2024-09-18 01:59:59.999,47426938.25621188,127800,29479298943.00,24552812.59689420,0
2024-09-18 02:00:00,0.00079773,0.00084500,0.00079200,0.00084247,26072566906.00,2024-09-18 02:59:59.999,21448579.68576239,61785,12951459065.00,10663212.65790315,0
2024-09-18 03:00:00,0.00084294,0.00084480,0.00081206,0.00082260,16927140127.00,2024-09-18 03:59:59.999,14048032.80553769,45380,8511561344.00,7067507.04197613,0
2024-09-18 04:00:00,0.00082260,0.00087696,0.00073295,0.00077992,50349310436.00,2024-09-18 04:59:59.999,40357155.02333600,111910,23601827666.00,18949480.82253782,0
2024-09-18 05:00:00,0.00077998,0.00078529,0.00072030,0.00075643,31319520941.00,2024-09-18 05:59:59.999,23521703.32657279,67098,14685359363.00,11043454.97048950,0
2024-09-18 06:00:00,0.00075643,0.00081000,0.00073000,0.00078912,24681623181.00,2024-09-18 06:59:59.999,19174373.78748123,53802,13037307920.00,10123877.28419856,0
2024-09-18 07:00:00,0.00078959,0.00082000,0.00077536,0.00079810,19084340248.00,2024-09-18 07:59:59.999,15247475.89530330,47112,8797478035.00,7031495.07078141,0
2024-09-18 08:00:00,0.00079888,0.00085888,0.00076022,0.00084829,31943071992.00,2024-09-18 08:59:59.999,26070656.04171093,85749,17072138778.00,13957498.40020352,0
2024-09-18 09:00:00,0.00084899,0.00085211,0.00080306,0.00080784,25240343557.00,2024-09-18 09:59:59.999,20955266.36396431,65609,12829479406.00,10663128.50510403,0
2024-09-18 10:00:00,0.00080784,0.00084781,0.00079000,0.00083527,22485439375.00,2024-09-18 10:59:59.999,18528164.98500174,55213,11754052739.00,9698504.99848161,0
2024-09-18 11:00:00,0.00083480,0.00090853,0.00078690,0.00080492,50552467094.00,2024-09-18 11:59:59.999,42705688.52019273,124951,23989690813.00,20357126.79551334,0
2024-09-18 12:00:00,0.00080492,0.00083500,0.00078700,0.00082861,21717106806.00,2024-09-18 12:59:59.999,17642236.55273828,53467,11538529348.00,9385435.10214774,0
2024-09-18 13:00:00,0.00082791,0.00085000,0.00082245,0.00083902,21083809099.00,2024-09-18 13:59:59.999,17625378.40450050,48630,10957398673.00,9166725.51265214,0
2024-09-18 14:00:00,0.00083879,0.00087000,0.00082701,0.00085199,22993464031.00,2024-09-18 14:59:59.999,19464819.67638420,49744,11773481429.00,9977569.50634268,0
